x0,x1,x2,x3,y,l,r
1,31,28.8,90,82.73,78.46,85.36
1,33,21.6,90,60.68,57.74,62.85
1,31,21.6,48,78.15,73.13,84.41
1,33,21.6,85,75.9,65.68,85.64
1,33,28.8,88,82.73,78.46,85.36
1,33,18,80,62.1,59.09,66.36
1,33,25.2,85,58.55,55.4,62.96
1,33,28.8,87,75.9,65.68,85.64
1,30,18,48,82.73,78.46,85.36
1,33,18,80,78.15,73.13,84.41
1,33,21.6,85,55.99,53.67,56.57
1,33,18,88,62.1,59.09,66.36
1,33,28.8,48,58.55,55.4,62.96
1,30,18,48,75.9,65.68,85.64
1,33,28.8,88,55.99,53.67,56.57
1,33,28.8,85,60.68,57.74,62.85
1,31,18,80,60.68,57.74,62.85
1,33,28.8,87,78.15,73.13,84.41
1,33,21.6,88,55.99,53.67,56.57
1,33,18,87,60.68,57.74,62.85
1,30,18,85,78.15,73.13,84.41
1,33,25.2,90,55.99,53.67,56.57
1,33,18,90,60.68,57.74,62.85
1,30,21.6,90,82.73,78.46,85.36
1,31,25.2,87,55.99,53.67,56.57
1,30,18,90,75.9,65.68,85.64
1,31,18,85,62.1,59.09,66.36
1,33,28.8,90,62.1,59.09,66.36
1,31,28.8,85,58.55,55.4,62.96
1,33,25.2,80,60.68,57.74,62.85
1,33,18,85,55.99,53.67,56.57
1,33,21.6,48,58.55,55.4,62.96
1,33,18,80,60.68,57.74,62.85
1,31,25.2,80,75.9,65.68,85.64
1,30,25.2,48,55.99,53.67,56.57
1,30,18,80,78.15,73.13,84.41
1,33,18,48,75.9,65.68,85.64
1,30,21.6,87,78.15,73.13,84.41
1,33,28.8,80,78.15,73.13,84.41
1,30,18,87,75.9,65.68,85.64
1,33,18,80,60.68,57.74,62.85
1,33,21.6,90,78.15,73.13,84.41
1,30,18,87,78.15,73.13,84.41
1,33,18,85,55.99,53.67,56.57
1,30,28.8,80,60.68,57.74,62.85
1,31,18,80,55.99,53.67,56.57
1,30,18,48,58.55,55.4,62.96
1,30,18,87,62.1,59.09,66.36
1,30,28.8,80,60.68,57.74,62.85
1,30,28.8,48,78.15,73.13,84.41
1,33,18,85,58.55,55.4,62.96
1,31,28.8,85,78.15,73.13,84.41
1,33,18,80,58.55,55.4,62.96
1,30,21.6,48,62.1,59.09,66.36
1,33,18,80,82.73,78.46,85.36
1,33,25.2,87,78.15,73.13,84.41
1,30,28.8,90,62.1,59.09,66.36
1,31,21.6,80,58.55,55.4,62.96
1,33,25.2,80,58.55,55.4,62.96
1,30,25.2,48,78.15,73.13,84.41
1,33,21.6,48,60.68,57.74,62.85
1,33,25.2,80,78.15,73.13,84.41
1,30,18,80,78.15,73.13,84.41
1,30,18,85,75.9,65.68,85.64
1,33,18,87,62.1,59.09,66.36
1,33,21.6,88,58.55,55.4,62.96
1,33,25.2,85,58.55,55.4,62.96
1,31,18,48,58.55,55.4,62.96
1,33,28.8,80,78.15,73.13,84.41
1,31,18,88,78.15,73.13,84.41
1,30,21.6,85,55.99,53.67,56.57
1,33,25.2,80,78.15,73.13,84.41
1,30,25.2,80,78.15,73.13,84.41
1,30,25.2,90,60.68,57.74,62.85
1,33,25.2,88,62.1,59.09,66.36
1,31,18,80,82.73,78.46,85.36
1,33,28.8,80,75.9,65.68,85.64
1,33,21.6,80,62.1,59.09,66.36
1,30,21.6,88,62.1,59.09,66.36
1,33,21.6,85,78.15,73.13,84.41
1,31,21.6,85,62.1,59.09,66.36
1,33,18,85,62.1,59.09,66.36
1,33,28.8,48,58.55,55.4,62.96
1,33,21.6,85,75.9,65.68,85.64
1,30,21.6,88,75.9,65.68,85.64
1,33,28.8,80,82.73,78.46,85.36
1,31,25.2,87,58.55,55.4,62.96
1,31,18,88,58.55,55.4,62.96
1,31,18,90,58.55,55.4,62.96
1,33,18,80,75.9,65.68,85.64
1,30,21.6,87,62.1,59.09,66.36
1,33,21.6,85,78.15,73.13,84.41
1,31,18,48,62.1,59.09,66.36
1,30,18,90,58.55,55.4,62.96
1,30,28.8,85,75.9,65.68,85.64
1,31,18,80,58.55,55.4,62.96
1,33,28.8,90,58.55,55.4,62.96
1,33,25.2,80,78.15,73.13,84.41
1,33,28.8,88,62.1,59.09,66.36
1,33,18,80,55.99,53.67,56.57
