x0,x1,x2,x3,x4,x5,x6,y,l,r
1,19.04,82.27,1009.9,0.9,0.15,2.87,1.15,0.84,0.6
1,17.66,88.7,1017.5,0.9,0.16,1.12,2.98,2.83,2.02
1,18.15,82.51,1025.6,0.02,0.14,0.85,3.92,1.97,1.97
1,18.43,79.46,1032.1,0,0.16,0.45,4.65,1.89,2.24
1,20.67,68.85,1027.1,0,0.22,0.91,3.98,2.13,2.13
1,21.64,79.39,1020,0.02,0.29,1.07,3.35,2.63,1.58
1,18.85,88.87,1018.2,1.3,0.24,0.69,3.13,2.39,1.71
1,16.16,88.92,1020.9,0.09,0.16,0.4,4.15,2.41,2.41
1,17.02,83.52,1028,0,0.13,0.83,3.96,2.48,2.1
1,14.72,87.51,1025.3,0.05,0.04,2.09,4.07,2.01,2.38
1,15.89,86.04,1018.5,0.04,0.04,0.9,3.3,2.16,1.83
1,17.83,91.77,1015.6,0.93,0.06,1.22,4.02,2.35,2.78
1,20.96,83.62,1012.3,0.02,0.13,3,2.06,3.19,1.59
1,17.07,73.1,1020.4,0.02,0.13,1.75,1.37,0.66,0.66
1,14.71,80.38,1028.6,0.09,0.01,0.73,3.35,1.73,1.73
1,20.41,87.98,1026.4,0.24,0.11,1.87,1.45,1.15,0.97
1,20.13,90.13,1023.1,0.02,0.17,2.39,2.74,1.41,1.41
1,15.64,64.95,1022.4,0,0.08,1.25,2.44,1.95,1.39
1,13.22,80.16,1021.6,0.01,0,1.02,2.79,2.23,1.59
1,12.98,86.14,1023.4,0.44,0,0.7,3.31,1.73,1.24
1,13.1,89.12,1028.6,0.01,0,1.17,4.02,2.96,2.11
